type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,singa,CLOSED,2020-01-21,2020-01-29,9,Graduated
comment,singa,NA,2020-01-22,2020-01-22,1,Graduated
comment,singa,NA,2020-01-22,2020-01-22,1,Graduated
comment,singa,NA,2020-01-22,2020-01-22,1,Graduated
comment,singa,NA,2020-01-22,2020-01-22,1,Graduated
comment,singa,NA,2020-01-22,2020-01-22,1,Graduated
comment,singa,NA,2020-01-29,2020-01-29,1,Graduated
issue,singa,CLOSED,2020-01-22,2020-02-12,22,Graduated
comment,singa,NA,2020-01-31,2020-01-31,1,Graduated
comment,singa,NA,2020-02-12,2020-02-12,1,Graduated
issue,singa,CLOSED,2020-01-29,2020-03-08,40,Graduated
comment,singa,NA,2020-03-08,2020-03-08,1,Graduated
comment,singa,NA,2020-03-08,2020-03-08,1,Graduated
issue,singa,OPEN,2020-01-30,2020-01-30,1,Graduated
issue,singa,OPEN,2020-01-30,2020-03-31,62,Graduated
comment,singa,NA,2020-02-24,2020-02-24,1,Graduated
comment,singa,NA,2020-02-24,2020-02-24,1,Graduated
comment,singa,NA,2020-03-03,2020-03-03,1,Graduated
comment,singa,NA,2020-03-03,2020-03-03,1,Graduated
comment,singa,NA,2020-03-03,2020-03-03,1,Graduated
comment,singa,NA,2020-03-03,2020-03-03,1,Graduated
comment,singa,NA,2020-03-10,2020-03-10,1,Graduated
comment,singa,NA,2020-03-10,2020-03-10,1,Graduated
comment,singa,NA,2020-03-12,2020-03-12,1,Graduated
comment,singa,NA,2020-03-13,2020-03-13,1,Graduated
comment,singa,NA,2020-03-13,2020-03-13,1,Graduated
comment,singa,NA,2020-03-13,2020-03-13,1,Graduated
comment,singa,NA,2020-03-31,2020-03-31,1,Graduated
issue,singa,CLOSED,2020-02-04,2020-02-21,18,Graduated
comment,singa,NA,2020-02-04,2020-02-04,1,Graduated
comment,singa,NA,2020-02-04,2020-02-04,1,Graduated
comment,singa,NA,2020-02-04,2020-02-04,1,Graduated
comment,singa,NA,2020-02-04,2020-02-04,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-18,2020-02-18,1,Graduated
comment,singa,NA,2020-02-18,2020-02-18,1,Graduated
comment,singa,NA,2020-02-18,2020-02-18,1,Graduated
comment,singa,NA,2020-02-18,2020-02-18,1,Graduated
comment,singa,NA,2020-02-18,2020-02-18,1,Graduated
comment,singa,NA,2020-02-18,2020-02-18,1,Graduated
comment,singa,NA,2020-02-19,2020-02-19,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
comment,singa,NA,2020-02-20,2020-02-20,1,Graduated
issue,singa,CLOSED,2020-02-10,2020-03-11,31,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-11,2020-02-11,1,Graduated
comment,singa,NA,2020-02-19,2020-02-19,1,Graduated
comment,singa,NA,2020-03-08,2020-03-08,1,Graduated
comment,singa,NA,2020-03-08,2020-03-08,1,Graduated
issue,singa,CLOSED,2020-03-06,2020-08-30,178,Graduated
comment,singa,NA,2020-03-07,2020-03-07,1,Graduated
comment,singa,NA,2020-03-08,2020-03-08,1,Graduated
comment,singa,NA,2020-03-18,2020-03-18,1,Graduated
comment,singa,NA,2020-03-18,2020-03-18,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-30,2020-03-30,1,Graduated
comment,singa,NA,2020-03-30,2020-03-30,1,Graduated
comment,singa,NA,2020-03-30,2020-03-30,1,Graduated
comment,singa,NA,2020-03-31,2020-03-31,1,Graduated
issue,singa,CLOSED,2020-03-06,2020-03-09,4,Graduated
comment,singa,NA,2020-03-08,2020-03-08,1,Graduated
comment,singa,NA,2020-03-08,2020-03-08,1,Graduated
comment,singa,NA,2020-03-08,2020-03-08,1,Graduated
comment,singa,NA,2020-03-09,2020-03-09,1,Graduated
issue,singa,CLOSED,2020-03-13,2020-03-25,13,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
issue,singa,CLOSED,2020-03-17,2020-03-24,8,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-23,2020-03-23,1,Graduated
issue,singa,CLOSED,2020-03-19,2020-03-20,2,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-19,2020-03-19,1,Graduated
comment,singa,NA,2020-03-20,2020-03-20,1,Graduated
comment,singa,NA,2020-03-20,2020-03-20,1,Graduated
issue,singa,OPEN,2020-03-24,2020-03-25,2,Graduated
comment,singa,NA,2020-03-25,2020-03-25,1,Graduated
issue,singa,CLOSED,2020-03-24,2020-03-28,5,Graduated
comment,singa,NA,2020-03-24,2020-03-24,1,Graduated
comment,singa,NA,2020-03-25,2020-03-25,1,Graduated
comment,singa,NA,2020-03-26,2020-03-26,1,Graduated
comment,singa,NA,2020-03-27,2020-03-27,1,Graduated
comment,singa,NA,2020-03-27,2020-03-27,1,Graduated
comment,singa,NA,2020-03-28,2020-03-28,1,Graduated
comment,singa,NA,2020-03-28,2020-03-28,1,Graduated
issue,singa,OPEN,2020-03-24,2020-03-24,1,Graduated
issue,singa,OPEN,2020-04-01,2020-04-01,1,Graduated
issue,singa,CLOSED,2020-04-05,2020-11-19,229,Graduated
comment,singa,NA,2020-11-19,2020-11-19,1,Graduated
issue,singa,CLOSED,2020-04-11,2020-06-18,69,Graduated
comment,singa,NA,2020-04-11,2020-04-11,1,Graduated
comment,singa,NA,2020-04-11,2020-04-11,1,Graduated
comment,singa,NA,2020-04-11,2020-04-11,1,Graduated
comment,singa,NA,2020-04-11,2020-04-11,1,Graduated
comment,singa,NA,2020-04-11,2020-04-11,1,Graduated
comment,singa,NA,2020-04-11,2020-04-11,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
comment,singa,NA,2020-04-12,2020-04-12,1,Graduated
