type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-15,2004-07-15,1,Graduated
comment,mojarra,NA,2004-07-21,2004-07-21,1,Graduated
comment,mojarra,NA,2004-07-21,2004-07-21,1,Graduated
comment,mojarra,NA,2004-07-22,2004-07-22,1,Graduated
comment,mojarra,NA,2004-07-23,2004-07-23,1,Graduated
comment,mojarra,NA,2004-07-26,2004-07-26,1,Graduated
comment,mojarra,NA,2012-02-15,2012-02-15,1,Graduated
comment,mojarra,NA,2004-07-21,2004-07-21,1,Graduated
comment,mojarra,NA,2004-07-15,2004-07-15,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2004-07-21,2004-07-21,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2006-04-19,2006-04-19,1,Graduated
issue,mojarra,CLOSED,2004-07-13,2017-05-02,4677,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2004-07-26,2004-07-26,1,Graduated
comment,mojarra,NA,2009-05-11,2009-05-11,1,Graduated
comment,mojarra,NA,2012-03-01,2012-03-01,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2009-05-11,2009-05-11,1,Graduated
issue,mojarra,CLOSED,2004-07-13,2017-05-02,4677,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2004-07-26,2004-07-26,1,Graduated
comment,mojarra,NA,2009-05-11,2009-05-11,1,Graduated
comment,mojarra,NA,2012-03-01,2012-03-01,1,Graduated
comment,mojarra,NA,2004-07-13,2004-07-13,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2009-05-11,2009-05-11,1,Graduated
issue,mojarra,CLOSED,2004-07-14,2017-05-02,4676,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2012-02-07,2012-02-07,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2006-04-19,2006-04-19,1,Graduated
issue,mojarra,CLOSED,2004-07-14,2017-05-02,4676,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2012-02-07,2012-02-07,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2006-04-19,2006-04-19,1,Graduated
issue,mojarra,CLOSED,2004-07-14,2017-05-02,4676,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-19,2004-07-19,1,Graduated
comment,mojarra,NA,2004-08-13,2004-08-13,1,Graduated
comment,mojarra,NA,2004-10-04,2004-10-04,1,Graduated
comment,mojarra,NA,2012-02-07,2012-02-07,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2006-04-19,2006-04-19,1,Graduated
issue,mojarra,CLOSED,2004-07-14,2017-05-02,4676,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-10-05,2004-10-05,1,Graduated
comment,mojarra,NA,2004-10-13,2004-10-13,1,Graduated
comment,mojarra,NA,2004-10-13,2004-10-13,1,Graduated
comment,mojarra,NA,2004-10-13,2004-10-13,1,Graduated
comment,mojarra,NA,2004-10-13,2004-10-13,1,Graduated
comment,mojarra,NA,2004-10-15,2004-10-15,1,Graduated
comment,mojarra,NA,2004-11-12,2004-11-12,1,Graduated
comment,mojarra,NA,2004-11-12,2004-11-12,1,Graduated
comment,mojarra,NA,2004-11-12,2004-11-12,1,Graduated
comment,mojarra,NA,2004-11-12,2004-11-12,1,Graduated
comment,mojarra,NA,2004-12-07,2004-12-07,1,Graduated
comment,mojarra,NA,2012-02-07,2012-02-07,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2006-04-19,2006-04-19,1,Graduated
issue,mojarra,CLOSED,2004-07-14,2017-05-02,4676,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-08-31,2004-08-31,1,Graduated
comment,mojarra,NA,2012-02-10,2012-02-10,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2006-04-19,2006-04-19,1,Graduated
issue,mojarra,CLOSED,2004-07-14,2017-05-02,4676,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2004-07-19,2004-07-19,1,Graduated
comment,mojarra,NA,2004-07-19,2004-07-19,1,Graduated
comment,mojarra,NA,2004-07-19,2004-07-19,1,Graduated
comment,mojarra,NA,2004-07-22,2004-07-22,1,Graduated
comment,mojarra,NA,2004-07-22,2004-07-22,1,Graduated
comment,mojarra,NA,2004-07-22,2004-07-22,1,Graduated
comment,mojarra,NA,2012-02-07,2012-02-07,1,Graduated
comment,mojarra,NA,2004-07-19,2004-07-19,1,Graduated
comment,mojarra,NA,2004-07-14,2004-07-14,1,Graduated
comment,mojarra,NA,2017-05-02,2017-05-02,1,Graduated
comment,mojarra,NA,2006-04-19,2006-04-19,1,Graduated
issue,mojarra,CLOSED,2004-07-15,2017-05-02,4675,Graduated
comment,mojarra,NA,2018-04-17,2018-04-17,1,Graduated
comment,mojarra,NA,2004-07-15,2004-07-15,1,Graduated
comment,mojarra,NA,2004-08-23,2004-08-23,1,Graduated
comment,mojarra,NA,2004-08-23,2004-08-23,1,Graduated
comment,mojarra,NA,2004-08-24,2004-08-24,1,Graduated
comment,mojarra,NA,2004-08-24,2004-08-24,1,Graduated
