type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,OPEN,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
comment,capella,NA,2021-01-06,2021-01-06,1,Graduated
issue,capella,CLOSED,2021-01-06,2021-01-06,1,Graduated
