type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,kiso,CLOSED,2020-01-17,2020-03-13,57,Retired
comment,kiso,NA,2020-02-14,2020-02-14,1,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
comment,kiso,NA,2020-02-14,2020-02-14,1,Retired
comment,kiso,NA,2020-03-13,2020-03-13,1,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
comment,kiso,NA,2020-01-17,2020-01-17,1,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
issue,kiso,OPEN,2020-01-17,2020-09-06,234,Retired
issue,kiso,CLOSED,2020-01-17,2020-03-13,57,Retired
