type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,packagedrone,CLOSED,2015-12-16,2016-01-18,34,Retired
comment,packagedrone,NA,2015-12-16,2015-12-16,1,Retired
comment,packagedrone,NA,2015-12-16,2015-12-16,1,Retired
issue,packagedrone,CLOSED,2015-12-21,2016-01-18,29,Retired
comment,packagedrone,NA,2015-12-21,2015-12-21,1,Retired
comment,packagedrone,NA,2015-12-21,2015-12-21,1,Retired
comment,packagedrone,NA,2016-01-11,2016-01-11,1,Retired
comment,packagedrone,NA,2016-01-11,2016-01-11,1,Retired
issue,packagedrone,OPEN,2016-01-05,2016-04-22,109,Retired
comment,packagedrone,NA,2016-01-05,2016-01-05,1,Retired
comment,packagedrone,NA,2016-01-06,2016-01-06,1,Retired
comment,packagedrone,NA,2016-01-06,2016-01-06,1,Retired
comment,packagedrone,NA,2016-01-06,2016-01-06,1,Retired
issue,packagedrone,CLOSED,2016-01-06,2016-01-14,9,Retired
comment,packagedrone,NA,2016-01-11,2016-01-11,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
issue,packagedrone,CLOSED,2016-01-11,2016-01-18,8,Retired
comment,packagedrone,NA,2016-01-11,2016-01-11,1,Retired
issue,packagedrone,OPEN,2016-01-11,2016-11-22,317,Retired
comment,packagedrone,NA,2016-01-11,2016-01-11,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-11-22,2016-11-22,1,Retired
issue,packagedrone,OPEN,2016-01-11,2016-06-24,166,Retired
comment,packagedrone,NA,2016-06-24,2016-06-24,1,Retired
issue,packagedrone,CLOSED,2016-01-14,2016-06-24,163,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-28,2016-01-28,1,Retired
comment,packagedrone,NA,2016-03-02,2016-03-02,1,Retired
comment,packagedrone,NA,2016-03-02,2016-03-02,1,Retired
comment,packagedrone,NA,2016-03-02,2016-03-02,1,Retired
comment,packagedrone,NA,2016-03-02,2016-03-02,1,Retired
comment,packagedrone,NA,2016-03-02,2016-03-02,1,Retired
comment,packagedrone,NA,2016-06-08,2016-06-08,1,Retired
comment,packagedrone,NA,2016-06-10,2016-06-10,1,Retired
comment,packagedrone,NA,2016-06-13,2016-06-13,1,Retired
comment,packagedrone,NA,2016-06-13,2016-06-13,1,Retired
issue,packagedrone,CLOSED,2016-01-14,2016-01-15,2,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-14,2016-01-14,1,Retired
comment,packagedrone,NA,2016-01-15,2016-01-15,1,Retired
comment,packagedrone,NA,2016-01-15,2016-01-15,1,Retired
comment,packagedrone,NA,2016-01-15,2016-01-15,1,Retired
issue,packagedrone,OPEN,2016-01-18,2016-01-18,1,Retired
comment,packagedrone,NA,2016-01-18,2016-01-18,1,Retired
issue,packagedrone,CLOSED,2016-01-18,2016-01-20,3,Retired
comment,packagedrone,NA,2016-01-19,2016-01-19,1,Retired
comment,packagedrone,NA,2016-01-19,2016-01-19,1,Retired
comment,packagedrone,NA,2016-01-19,2016-01-19,1,Retired
comment,packagedrone,NA,2016-01-19,2016-01-19,1,Retired
comment,packagedrone,NA,2016-01-19,2016-01-19,1,Retired
comment,packagedrone,NA,2016-01-19,2016-01-19,1,Retired
comment,packagedrone,NA,2016-01-20,2016-01-20,1,Retired
comment,packagedrone,NA,2016-01-20,2016-01-20,1,Retired
comment,packagedrone,NA,2016-01-20,2016-01-20,1,Retired
comment,packagedrone,NA,2016-01-20,2016-01-20,1,Retired
comment,packagedrone,NA,2016-01-20,2016-01-20,1,Retired
issue,packagedrone,CLOSED,2016-01-18,2016-01-18,1,Retired
comment,packagedrone,NA,2016-01-18,2016-01-18,1,Retired
comment,packagedrone,NA,2016-01-18,2016-01-18,1,Retired
comment,packagedrone,NA,2016-01-18,2016-01-18,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-01-19,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-01-19,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-01-19,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-02-25,38,Retired
comment,packagedrone,NA,2016-02-25,2016-02-25,1,Retired
comment,packagedrone,NA,2016-02-25,2016-02-25,1,Retired
comment,packagedrone,NA,2016-02-25,2016-02-25,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-01-19,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-01-19,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-01-19,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-01-19,1,Retired
issue,packagedrone,OPEN,2016-01-19,2016-02-25,38,Retired
comment,packagedrone,NA,2016-02-25,2016-02-25,1,Retired
issue,packagedrone,CLOSED,2016-01-19,2016-04-22,95,Retired
comment,packagedrone,NA,2016-02-08,2016-02-08,1,Retired
comment,packagedrone,NA,2016-02-08,2016-02-08,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-14,2016-02-14,1,Retired
comment,packagedrone,NA,2016-02-14,2016-02-14,1,Retired
comment,packagedrone,NA,2016-02-14,2016-02-14,1,Retired
comment,packagedrone,NA,2016-02-14,2016-02-14,1,Retired
comment,packagedrone,NA,2016-02-14,2016-02-14,1,Retired
comment,packagedrone,NA,2016-02-14,2016-02-14,1,Retired
comment,packagedrone,NA,2016-02-14,2016-02-14,1,Retired
comment,packagedrone,NA,2016-02-14,2016-02-14,1,Retired
comment,packagedrone,NA,2016-04-22,2016-04-22,1,Retired
issue,packagedrone,OPEN,2016-01-22,2016-01-22,1,Retired
issue,packagedrone,OPEN,2016-01-22,2018-03-17,786,Retired
comment,packagedrone,NA,2016-01-22,2016-01-22,1,Retired
comment,packagedrone,NA,2016-01-22,2016-01-22,1,Retired
comment,packagedrone,NA,2018-03-17,2018-03-17,1,Retired
issue,packagedrone,CLOSED,2016-01-25,2016-01-25,1,Retired
comment,packagedrone,NA,2016-01-25,2016-01-25,1,Retired
comment,packagedrone,NA,2016-01-25,2016-01-25,1,Retired
comment,packagedrone,NA,2016-01-25,2016-01-25,1,Retired
issue,packagedrone,CLOSED,2016-02-03,2016-04-18,76,Retired
comment,packagedrone,NA,2016-02-03,2016-02-03,1,Retired
comment,packagedrone,NA,2016-04-18,2016-04-18,1,Retired
issue,packagedrone,CLOSED,2016-02-04,2016-04-18,75,Retired
comment,packagedrone,NA,2016-02-05,2016-02-05,1,Retired
comment,packagedrone,NA,2016-04-18,2016-04-18,1,Retired
issue,packagedrone,OPEN,2016-02-05,2016-02-05,1,Retired
issue,packagedrone,OPEN,2016-02-05,2016-02-05,1,Retired
issue,packagedrone,CLOSED,2016-02-10,2016-04-18,69,Retired
issue,packagedrone,OPEN,2016-02-10,2017-03-14,399,Retired
comment,packagedrone,NA,2017-03-14,2017-03-14,1,Retired
issue,packagedrone,CLOSED,2016-02-11,2016-02-12,2,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-11,2016-02-11,1,Retired
comment,packagedrone,NA,2016-02-12,2016-02-12,1,Retired
issue,packagedrone,CLOSED,2016-02-16,2016-02-17,2,Retired
comment,packagedrone,NA,2016-02-16,2016-02-16,1,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
issue,packagedrone,CLOSED,2016-02-16,2016-02-22,7,Retired
comment,packagedrone,NA,2016-02-16,2016-02-16,1,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-22,2016-02-22,1,Retired
issue,packagedrone,CLOSED,2016-02-17,2016-02-17,1,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
issue,packagedrone,CLOSED,2016-02-17,2016-03-02,15,Retired
comment,packagedrone,NA,2016-02-17,2016-02-17,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-18,2016-02-18,1,Retired
comment,packagedrone,NA,2016-02-19,2016-02-19,1,Retired
comment,packagedrone,NA,2016-03-02,2016-03-02,1,Retired
comment,packagedrone,NA,2016-03-02,2016-03-02,1,Retired
issue,packagedrone,OPEN,2016-02-22,2016-02-22,1,Retired
comment,packagedrone,NA,2016-02-22,2016-02-22,1,Retired
issue,packagedrone,CLOSED,2016-02-24,2016-03-02,8,Retired
comment,packagedrone,NA,2016-02-24,2016-02-24,1,Retired
comment,packagedrone,NA,2016-02-24,2016-02-24,1,Retired
comment,packagedrone,NA,2016-02-25,2016-02-25,1,Retired
issue,packagedrone,CLOSED,2016-02-24,2016-03-21,27,Retired
comment,packagedrone,NA,2016-02-24,2016-02-24,1,Retired
comment,packagedrone,NA,2016-02-24,2016-02-24,1,Retired
issue,packagedrone,CLOSED,2016-02-26,2016-03-21,25,Retired
issue,packagedrone,CLOSED,2016-03-10,2016-04-22,44,Retired
comment,packagedrone,NA,2016-03-10,2016-03-10,1,Retired
comment,packagedrone,NA,2016-03-10,2016-03-10,1,Retired
comment,packagedrone,NA,2016-03-11,2016-03-11,1,Retired
comment,packagedrone,NA,2016-03-21,2016-03-21,1,Retired
comment,packagedrone,NA,2016-04-22,2016-04-22,1,Retired
issue,packagedrone,CLOSED,2016-03-13,2016-04-18,37,Retired
comment,packagedrone,NA,2016-03-14,2016-03-14,1,Retired
comment,packagedrone,NA,2016-03-18,2016-03-18,1,Retired
comment,packagedrone,NA,2016-03-21,2016-03-21,1,Retired
comment,packagedrone,NA,2016-04-18,2016-04-18,1,Retired
issue,packagedrone,OPEN,2016-03-13,2016-05-20,69,Retired
comment,packagedrone,NA,2016-03-14,2016-03-14,1,Retired
comment,packagedrone,NA,2016-05-20,2016-05-20,1,Retired
comment,packagedrone,NA,2016-05-20,2016-05-20,1,Retired
issue,packagedrone,CLOSED,2016-04-01,2016-04-13,13,Retired
comment,packagedrone,NA,2016-04-13,2016-04-13,1,Retired
issue,packagedrone,OPEN,2016-04-13,2016-04-19,7,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-14,2016-04-14,1,Retired
comment,packagedrone,NA,2016-04-19,2016-04-19,1,Retired
comment,packagedrone,NA,2016-04-19,2016-04-19,1,Retired
comment,packagedrone,NA,2016-04-19,2016-04-19,1,Retired
issue,packagedrone,CLOSED,2016-04-14,2016-04-18,5,Retired
issue,packagedrone,OPEN,2016-04-20,2016-05-02,13,Retired
issue,packagedrone,CLOSED,2016-04-29,2016-04-29,1,Retired
comment,packagedrone,NA,2016-04-29,2016-04-29,1,Retired
comment,packagedrone,NA,2016-04-29,2016-04-29,1,Retired
issue,packagedrone,CLOSED,2016-05-02,2016-05-02,1,Retired
comment,packagedrone,NA,2016-05-02,2016-05-02,1,Retired
issue,packagedrone,OPEN,2016-05-02,2016-05-09,8,Retired
comment,packagedrone,NA,2016-05-02,2016-05-02,1,Retired
comment,packagedrone,NA,2016-05-02,2016-05-02,1,Retired
comment,packagedrone,NA,2016-05-04,2016-05-04,1,Retired
comment,packagedrone,NA,2016-05-09,2016-05-09,1,Retired
comment,packagedrone,NA,2016-05-09,2016-05-09,1,Retired
