type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,incubator-tuweni,CLOSED,2020-02-27,2023-01-30,1069,Retired
comment,incubator-tuweni,NA,2020-02-28,2020-02-28,1,Retired
comment,incubator-tuweni,NA,2020-02-28,2020-02-28,1,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
comment,incubator-tuweni,NA,2023-01-30,2023-01-30,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2020-03-02,1,Retired
comment,incubator-tuweni,NA,2020-03-02,2020-03-02,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2023-01-11,1046,Retired
comment,incubator-tuweni,NA,2020-05-30,2020-05-30,1,Retired
comment,incubator-tuweni,NA,2020-05-30,2020-05-30,1,Retired
comment,incubator-tuweni,NA,2020-05-30,2020-05-30,1,Retired
comment,incubator-tuweni,NA,2020-05-31,2020-05-31,1,Retired
comment,incubator-tuweni,NA,2020-05-31,2020-05-31,1,Retired
comment,incubator-tuweni,NA,2023-01-11,2023-01-11,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2021-01-17,322,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2023-01-11,1046,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2023-01-11,1046,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2023-01-11,1046,Retired
comment,incubator-tuweni,NA,2020-07-13,2020-07-13,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2021-05-06,431,Retired
comment,incubator-tuweni,NA,2020-10-20,2020-10-20,1,Retired
comment,incubator-tuweni,NA,2021-05-06,2021-05-06,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2020-07-05,126,Retired
comment,incubator-tuweni,NA,2020-07-05,2020-07-05,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2023-05-12,1167,Retired
comment,incubator-tuweni,NA,2021-12-15,2021-12-15,1,Retired
comment,incubator-tuweni,NA,2021-12-15,2021-12-15,1,Retired
comment,incubator-tuweni,NA,2023-03-13,2023-03-13,1,Retired
comment,incubator-tuweni,NA,2023-05-12,2023-05-12,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2020-07-05,126,Retired
comment,incubator-tuweni,NA,2020-05-30,2020-05-30,1,Retired
comment,incubator-tuweni,NA,2020-07-05,2020-07-05,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2021-06-07,463,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-02,2022-12-30,1034,Retired
comment,incubator-tuweni,NA,2022-12-30,2022-12-30,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-09,2020-07-05,119,Retired
comment,incubator-tuweni,NA,2020-07-05,2020-07-05,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-09,2020-03-12,4,Retired
comment,incubator-tuweni,NA,2020-03-12,2020-03-12,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-09,2020-10-20,226,Retired
comment,incubator-tuweni,NA,2020-08-09,2020-08-09,1,Retired
comment,incubator-tuweni,NA,2020-09-15,2020-09-15,1,Retired
comment,incubator-tuweni,NA,2020-10-20,2020-10-20,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-28,2020-06-16,81,Retired
comment,incubator-tuweni,NA,2020-06-16,2020-06-16,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-28,2020-07-05,100,Retired
comment,incubator-tuweni,NA,2020-07-05,2020-07-05,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-28,2023-01-30,1039,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-28,2023-01-29,1038,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-28,2023-01-11,1020,Retired
comment,incubator-tuweni,NA,2023-01-11,2023-01-11,1,Retired
issue,incubator-tuweni,CLOSED,2020-03-28,2023-02-04,1044,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
comment,incubator-tuweni,NA,2023-02-04,2023-02-04,1,Retired
issue,incubator-tuweni,CLOSED,2020-04-01,2020-05-02,32,Retired
issue,incubator-tuweni,CLOSED,2020-05-04,2020-10-21,171,Retired
comment,incubator-tuweni,NA,2020-10-21,2020-10-21,1,Retired
issue,incubator-tuweni,CLOSED,2020-05-04,2020-05-06,3,Retired
comment,incubator-tuweni,NA,2020-05-06,2020-05-06,1,Retired
issue,incubator-tuweni,CLOSED,2020-05-04,2020-08-06,95,Retired
comment,incubator-tuweni,NA,2020-08-06,2020-08-06,1,Retired
issue,incubator-tuweni,CLOSED,2020-05-04,2021-04-22,354,Retired
issue,incubator-tuweni,CLOSED,2020-05-04,2020-05-09,6,Retired
issue,incubator-tuweni,CLOSED,2020-06-16,2023-01-28,957,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
issue,incubator-tuweni,CLOSED,2020-06-17,2023-02-04,963,Retired
comment,incubator-tuweni,NA,2020-07-12,2020-07-12,1,Retired
comment,incubator-tuweni,NA,2020-07-13,2020-07-13,1,Retired
comment,incubator-tuweni,NA,2020-07-13,2020-07-13,1,Retired
comment,incubator-tuweni,NA,2020-07-13,2020-07-13,1,Retired
comment,incubator-tuweni,NA,2020-07-13,2020-07-13,1,Retired
comment,incubator-tuweni,NA,2020-07-13,2020-07-13,1,Retired
comment,incubator-tuweni,NA,2020-07-14,2020-07-14,1,Retired
comment,incubator-tuweni,NA,2020-12-17,2020-12-17,1,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
comment,incubator-tuweni,NA,2023-02-04,2023-02-04,1,Retired
issue,incubator-tuweni,CLOSED,2020-07-12,2023-01-01,904,Retired
comment,incubator-tuweni,NA,2021-12-15,2021-12-15,1,Retired
comment,incubator-tuweni,NA,2021-12-16,2021-12-16,1,Retired
issue,incubator-tuweni,CLOSED,2020-07-13,2021-01-17,189,Retired
comment,incubator-tuweni,NA,2020-12-10,2020-12-10,1,Retired
comment,incubator-tuweni,NA,2020-12-15,2020-12-15,1,Retired
comment,incubator-tuweni,NA,2020-12-15,2020-12-15,1,Retired
comment,incubator-tuweni,NA,2020-12-15,2020-12-15,1,Retired
comment,incubator-tuweni,NA,2020-12-15,2020-12-15,1,Retired
comment,incubator-tuweni,NA,2020-12-31,2020-12-31,1,Retired
comment,incubator-tuweni,NA,2021-01-01,2021-01-01,1,Retired
comment,incubator-tuweni,NA,2021-01-02,2021-01-02,1,Retired
comment,incubator-tuweni,NA,2021-01-17,2021-01-17,1,Retired
issue,incubator-tuweni,CLOSED,2020-07-30,2020-10-19,82,Retired
comment,incubator-tuweni,NA,2020-08-06,2020-08-06,1,Retired
comment,incubator-tuweni,NA,2020-10-19,2020-10-19,1,Retired
issue,incubator-tuweni,CLOSED,2020-08-16,2021-01-15,153,Retired
issue,incubator-tuweni,CLOSED,2020-10-12,2023-04-11,912,Retired
comment,incubator-tuweni,NA,2022-12-11,2022-12-11,1,Retired
comment,incubator-tuweni,NA,2022-12-11,2022-12-11,1,Retired
comment,incubator-tuweni,NA,2023-02-10,2023-02-10,1,Retired
comment,incubator-tuweni,NA,2023-04-11,2023-04-11,1,Retired
issue,incubator-tuweni,CLOSED,2020-10-22,2020-10-22,1,Retired
issue,incubator-tuweni,CLOSED,2020-11-08,2020-11-14,7,Retired
comment,incubator-tuweni,NA,2020-11-11,2020-11-11,1,Retired
comment,incubator-tuweni,NA,2020-11-12,2020-11-12,1,Retired
comment,incubator-tuweni,NA,2020-11-13,2020-11-13,1,Retired
comment,incubator-tuweni,NA,2020-11-13,2020-11-13,1,Retired
comment,incubator-tuweni,NA,2020-11-14,2020-11-14,1,Retired
issue,incubator-tuweni,CLOSED,2020-11-14,2020-11-14,1,Retired
comment,incubator-tuweni,NA,2020-11-14,2020-11-14,1,Retired
issue,incubator-tuweni,CLOSED,2020-11-17,2020-12-17,31,Retired
comment,incubator-tuweni,NA,2020-12-03,2020-12-03,1,Retired
comment,incubator-tuweni,NA,2020-12-07,2020-12-07,1,Retired
comment,incubator-tuweni,NA,2020-12-17,2020-12-17,1,Retired
issue,incubator-tuweni,CLOSED,2020-11-23,2021-01-10,49,Retired
comment,incubator-tuweni,NA,2021-01-10,2021-01-10,1,Retired
issue,incubator-tuweni,CLOSED,2020-11-26,2022-01-11,412,Retired
issue,incubator-tuweni,CLOSED,2020-12-04,2023-02-04,793,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
issue,incubator-tuweni,CLOSED,2020-12-15,2021-01-02,19,Retired
comment,incubator-tuweni,NA,2020-12-15,2020-12-15,1,Retired
comment,incubator-tuweni,NA,2021-01-02,2021-01-02,1,Retired
issue,incubator-tuweni,CLOSED,2020-12-16,2020-12-17,2,Retired
comment,incubator-tuweni,NA,2020-12-16,2020-12-16,1,Retired
comment,incubator-tuweni,NA,2020-12-16,2020-12-16,1,Retired
comment,incubator-tuweni,NA,2020-12-17,2020-12-17,1,Retired
comment,incubator-tuweni,NA,2020-12-17,2020-12-17,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-07,2022-01-15,284,Retired
issue,incubator-tuweni,CLOSED,2021-04-08,2021-06-07,61,Retired
comment,incubator-tuweni,NA,2021-04-12,2021-04-12,1,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-22,2022-03-26,339,Retired
issue,incubator-tuweni,CLOSED,2021-04-23,2022-06-17,421,Retired
comment,incubator-tuweni,NA,2022-06-17,2022-06-17,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-23,2023-01-30,648,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-23,2021-04-28,6,Retired
issue,incubator-tuweni,CLOSED,2021-04-25,2023-01-11,627,Retired
issue,incubator-tuweni,CLOSED,2021-04-27,2021-05-02,6,Retired
comment,incubator-tuweni,NA,2021-04-29,2021-04-29,1,Retired
comment,incubator-tuweni,NA,2021-04-29,2021-04-29,1,Retired
comment,incubator-tuweni,NA,2021-04-30,2021-04-30,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-27,2021-05-22,26,Retired
issue,incubator-tuweni,CLOSED,2021-04-28,2021-08-20,115,Retired
comment,incubator-tuweni,NA,2021-08-20,2021-08-20,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-30,2023-03-19,689,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
comment,incubator-tuweni,NA,2023-03-19,2023-03-19,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-30,2021-05-05,6,Retired
issue,incubator-tuweni,CLOSED,2021-04-30,2023-01-29,640,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-30,2023-03-19,689,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
comment,incubator-tuweni,NA,2023-03-19,2023-03-19,1,Retired
issue,incubator-tuweni,CLOSED,2021-04-30,2021-06-07,39,Retired
issue,incubator-tuweni,CLOSED,2021-05-01,2022-01-09,254,Retired
comment,incubator-tuweni,NA,2022-01-09,2022-01-09,1,Retired
issue,incubator-tuweni,CLOSED,2021-05-05,2021-05-20,16,Retired
issue,incubator-tuweni,CLOSED,2021-05-20,2021-05-28,9,Retired
comment,incubator-tuweni,NA,2021-05-28,2021-05-28,1,Retired
issue,incubator-tuweni,CLOSED,2021-05-28,2021-05-29,2,Retired
issue,incubator-tuweni,CLOSED,2021-05-28,2021-05-29,2,Retired
comment,incubator-tuweni,NA,2021-05-29,2021-05-29,1,Retired
issue,incubator-tuweni,CLOSED,2021-05-28,2021-05-29,2,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2023-03-18,650,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
comment,incubator-tuweni,NA,2021-06-07,2021-06-07,1,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
comment,incubator-tuweni,NA,2023-03-18,2023-03-18,1,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2023-01-11,584,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2023-01-29,602,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2022-01-11,219,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2022-01-15,223,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2022-01-19,227,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2023-01-11,584,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2021-06-28,22,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2022-01-15,223,Retired
comment,incubator-tuweni,NA,2021-06-13,2021-06-13,1,Retired
comment,incubator-tuweni,NA,2021-06-14,2021-06-14,1,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2023-01-12,585,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2022-01-19,227,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2022-01-11,219,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2022-01-09,217,Retired
issue,incubator-tuweni,CLOSED,2021-06-07,2023-03-18,650,Retired
comment,incubator-tuweni,NA,2021-12-15,2021-12-15,1,Retired
comment,incubator-tuweni,NA,2021-12-15,2021-12-15,1,Retired
comment,incubator-tuweni,NA,2023-01-17,2023-01-17,1,Retired
