type,repo_name,issue_state,created_at,updated_at,days_elapsed,status
issue,org.eclipse.rap,CLOSED,2022-04-21,2022-05-04,14,Graduated
comment,org.eclipse.rap,NA,2022-04-28,2022-04-28,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-04-27,2022-07-29,94,Graduated
comment,org.eclipse.rap,NA,2022-05-03,2022-05-03,1,Graduated
comment,org.eclipse.rap,NA,2022-05-09,2022-05-09,1,Graduated
comment,org.eclipse.rap,NA,2022-05-10,2022-05-10,1,Graduated
comment,org.eclipse.rap,NA,2022-05-10,2022-05-10,1,Graduated
comment,org.eclipse.rap,NA,2022-07-28,2022-07-28,1,Graduated
comment,org.eclipse.rap,NA,2022-07-29,2022-07-29,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-04-28,2022-09-28,154,Graduated
comment,org.eclipse.rap,NA,2022-06-15,2022-06-15,1,Graduated
comment,org.eclipse.rap,NA,2022-06-15,2022-06-15,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-04-28,2022-05-02,5,Graduated
comment,org.eclipse.rap,NA,2022-04-29,2022-04-29,1,Graduated
comment,org.eclipse.rap,NA,2022-04-29,2022-04-29,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
comment,org.eclipse.rap,NA,2022-05-02,2022-05-02,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-05-04,2022-05-04,1,Graduated
comment,org.eclipse.rap,NA,2022-05-04,2022-05-04,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-05-04,2022-05-04,1,Graduated
comment,org.eclipse.rap,NA,2022-05-04,2022-05-04,1,Graduated
comment,org.eclipse.rap,NA,2022-05-04,2022-05-04,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-05-04,2022-05-04,1,Graduated
comment,org.eclipse.rap,NA,2022-05-04,2022-05-04,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-05-04,2022-05-04,1,Graduated
comment,org.eclipse.rap,NA,2022-05-04,2022-05-04,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-05-04,2022-05-04,1,Graduated
comment,org.eclipse.rap,NA,2022-05-04,2022-05-04,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-06-01,2022-06-17,17,Graduated
comment,org.eclipse.rap,NA,2022-06-02,2022-06-02,1,Graduated
comment,org.eclipse.rap,NA,2022-06-08,2022-06-08,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-06-07,2024-02-20,624,Graduated
comment,org.eclipse.rap,NA,2022-06-08,2022-06-08,1,Graduated
comment,org.eclipse.rap,NA,2022-06-08,2022-06-08,1,Graduated
comment,org.eclipse.rap,NA,2022-06-08,2022-06-08,1,Graduated
comment,org.eclipse.rap,NA,2022-06-08,2022-06-08,1,Graduated
comment,org.eclipse.rap,NA,2022-06-13,2022-06-13,1,Graduated
comment,org.eclipse.rap,NA,2022-06-13,2022-06-13,1,Graduated
comment,org.eclipse.rap,NA,2022-06-13,2022-06-13,1,Graduated
comment,org.eclipse.rap,NA,2022-09-28,2022-09-28,1,Graduated
issue,org.eclipse.rap,OPEN,2022-06-08,2022-09-01,86,Graduated
comment,org.eclipse.rap,NA,2022-07-14,2022-07-14,1,Graduated
comment,org.eclipse.rap,NA,2022-07-14,2022-07-14,1,Graduated
comment,org.eclipse.rap,NA,2022-09-01,2022-09-01,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-06-09,2022-06-15,7,Graduated
comment,org.eclipse.rap,NA,2022-06-09,2022-06-09,1,Graduated
comment,org.eclipse.rap,NA,2022-06-09,2022-06-09,1,Graduated
comment,org.eclipse.rap,NA,2022-06-14,2022-06-14,1,Graduated
comment,org.eclipse.rap,NA,2022-06-15,2022-06-15,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-07-05,2022-07-06,2,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-07-05,2022-07-06,2,Graduated
comment,org.eclipse.rap,NA,2022-07-05,2022-07-05,1,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
comment,org.eclipse.rap,NA,2022-07-06,2022-07-06,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-07-07,2022-07-12,6,Graduated
comment,org.eclipse.rap,NA,2022-07-07,2022-07-07,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-08-03,2022-09-27,56,Graduated
comment,org.eclipse.rap,NA,2022-08-03,2022-08-03,1,Graduated
comment,org.eclipse.rap,NA,2022-08-24,2022-08-24,1,Graduated
comment,org.eclipse.rap,NA,2022-09-27,2022-09-27,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-08-04,2022-08-18,15,Graduated
comment,org.eclipse.rap,NA,2022-08-05,2022-08-05,1,Graduated
comment,org.eclipse.rap,NA,2022-08-05,2022-08-05,1,Graduated
comment,org.eclipse.rap,NA,2022-08-15,2022-08-15,1,Graduated
comment,org.eclipse.rap,NA,2022-08-15,2022-08-15,1,Graduated
comment,org.eclipse.rap,NA,2022-08-16,2022-08-16,1,Graduated
comment,org.eclipse.rap,NA,2022-08-17,2022-08-17,1,Graduated
comment,org.eclipse.rap,NA,2022-08-17,2022-08-17,1,Graduated
comment,org.eclipse.rap,NA,2022-08-17,2022-08-17,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-09-05,2022-09-06,2,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
comment,org.eclipse.rap,NA,2022-09-06,2022-09-06,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-09-07,2023-03-23,198,Graduated
comment,org.eclipse.rap,NA,2022-09-07,2022-09-07,1,Graduated
comment,org.eclipse.rap,NA,2022-09-07,2022-09-07,1,Graduated
comment,org.eclipse.rap,NA,2022-09-14,2022-09-14,1,Graduated
comment,org.eclipse.rap,NA,2022-09-15,2022-09-15,1,Graduated
comment,org.eclipse.rap,NA,2022-09-19,2022-09-19,1,Graduated
comment,org.eclipse.rap,NA,2022-09-19,2022-09-19,1,Graduated
comment,org.eclipse.rap,NA,2022-09-19,2022-09-19,1,Graduated
comment,org.eclipse.rap,NA,2022-09-21,2022-09-21,1,Graduated
comment,org.eclipse.rap,NA,2022-09-21,2022-09-21,1,Graduated
comment,org.eclipse.rap,NA,2022-09-25,2022-09-25,1,Graduated
comment,org.eclipse.rap,NA,2023-03-21,2023-03-21,1,Graduated
comment,org.eclipse.rap,NA,2023-03-21,2023-03-21,1,Graduated
comment,org.eclipse.rap,NA,2023-03-21,2023-03-21,1,Graduated
comment,org.eclipse.rap,NA,2023-03-21,2023-03-21,1,Graduated
comment,org.eclipse.rap,NA,2023-03-22,2023-03-22,1,Graduated
comment,org.eclipse.rap,NA,2023-03-22,2023-03-22,1,Graduated
comment,org.eclipse.rap,NA,2023-03-22,2023-03-22,1,Graduated
comment,org.eclipse.rap,NA,2023-03-22,2023-03-22,1,Graduated
comment,org.eclipse.rap,NA,2023-03-22,2023-03-22,1,Graduated
comment,org.eclipse.rap,NA,2023-03-23,2023-03-23,1,Graduated
comment,org.eclipse.rap,NA,2023-03-23,2023-03-23,1,Graduated
comment,org.eclipse.rap,NA,2023-03-23,2023-03-23,1,Graduated
issue,org.eclipse.rap,OPEN,2022-09-12,2022-09-14,3,Graduated
comment,org.eclipse.rap,NA,2022-09-12,2022-09-12,1,Graduated
issue,org.eclipse.rap,OPEN,2022-09-25,2022-09-29,5,Graduated
comment,org.eclipse.rap,NA,2022-09-28,2022-09-28,1,Graduated
comment,org.eclipse.rap,NA,2022-09-29,2022-09-29,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-09-28,2023-02-21,147,Graduated
comment,org.eclipse.rap,NA,2022-09-28,2022-09-28,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-10-04,2022-12-10,68,Graduated
comment,org.eclipse.rap,NA,2022-10-26,2022-10-26,1,Graduated
comment,org.eclipse.rap,NA,2022-10-27,2022-10-27,1,Graduated
comment,org.eclipse.rap,NA,2022-10-27,2022-10-27,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-10-07,2022-10-10,4,Graduated
issue,org.eclipse.rap,CLOSED,2022-10-11,2022-10-11,1,Graduated
comment,org.eclipse.rap,NA,2022-10-11,2022-10-11,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-10-18,2022-10-26,9,Graduated
comment,org.eclipse.rap,NA,2022-10-20,2022-10-20,1,Graduated
comment,org.eclipse.rap,NA,2022-10-21,2022-10-21,1,Graduated
comment,org.eclipse.rap,NA,2022-10-21,2022-10-21,1,Graduated
comment,org.eclipse.rap,NA,2022-10-21,2022-10-21,1,Graduated
comment,org.eclipse.rap,NA,2022-10-21,2022-10-21,1,Graduated
comment,org.eclipse.rap,NA,2022-10-21,2022-10-21,1,Graduated
comment,org.eclipse.rap,NA,2022-10-21,2022-10-21,1,Graduated
comment,org.eclipse.rap,NA,2022-10-24,2022-10-24,1,Graduated
comment,org.eclipse.rap,NA,2022-10-24,2022-10-24,1,Graduated
issue,org.eclipse.rap,OPEN,2022-10-27,2024-09-24,699,Graduated
comment,org.eclipse.rap,NA,2022-10-27,2022-10-27,1,Graduated
comment,org.eclipse.rap,NA,2022-10-27,2022-10-27,1,Graduated
comment,org.eclipse.rap,NA,2022-10-27,2022-10-27,1,Graduated
comment,org.eclipse.rap,NA,2022-10-27,2022-10-27,1,Graduated
comment,org.eclipse.rap,NA,2022-10-28,2022-10-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-02,2022-11-02,1,Graduated
comment,org.eclipse.rap,NA,2022-11-02,2022-11-02,1,Graduated
comment,org.eclipse.rap,NA,2022-11-02,2022-11-02,1,Graduated
comment,org.eclipse.rap,NA,2022-11-02,2022-11-02,1,Graduated
comment,org.eclipse.rap,NA,2022-11-02,2022-11-02,1,Graduated
comment,org.eclipse.rap,NA,2022-11-02,2022-11-02,1,Graduated
comment,org.eclipse.rap,NA,2022-11-02,2022-11-02,1,Graduated
comment,org.eclipse.rap,NA,2024-09-24,2024-09-24,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-10-27,2024-08-27,671,Graduated
comment,org.eclipse.rap,NA,2022-10-27,2022-10-27,1,Graduated
comment,org.eclipse.rap,NA,2023-01-11,2023-01-11,1,Graduated
comment,org.eclipse.rap,NA,2023-01-11,2023-01-11,1,Graduated
comment,org.eclipse.rap,NA,2023-01-11,2023-01-11,1,Graduated
comment,org.eclipse.rap,NA,2023-03-15,2023-03-15,1,Graduated
comment,org.eclipse.rap,NA,2023-07-03,2023-07-03,1,Graduated
comment,org.eclipse.rap,NA,2023-08-08,2023-08-08,1,Graduated
comment,org.eclipse.rap,NA,2023-08-14,2023-08-14,1,Graduated
comment,org.eclipse.rap,NA,2023-10-30,2023-10-30,1,Graduated
comment,org.eclipse.rap,NA,2023-10-30,2023-10-30,1,Graduated
comment,org.eclipse.rap,NA,2023-10-30,2023-10-30,1,Graduated
comment,org.eclipse.rap,NA,2023-10-30,2023-10-30,1,Graduated
comment,org.eclipse.rap,NA,2024-08-27,2024-08-27,1,Graduated
comment,org.eclipse.rap,NA,2024-08-27,2024-08-27,1,Graduated
issue,org.eclipse.rap,OPEN,2022-11-02,2022-11-04,3,Graduated
comment,org.eclipse.rap,NA,2022-11-03,2022-11-03,1,Graduated
comment,org.eclipse.rap,NA,2022-11-04,2022-11-04,1,Graduated
comment,org.eclipse.rap,NA,2022-11-04,2022-11-04,1,Graduated
comment,org.eclipse.rap,NA,2022-11-04,2022-11-04,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-11-02,2022-11-15,14,Graduated
issue,org.eclipse.rap,CLOSED,2022-11-03,2024-08-31,668,Graduated
comment,org.eclipse.rap,NA,2022-11-07,2022-11-07,1,Graduated
comment,org.eclipse.rap,NA,2022-11-07,2022-11-07,1,Graduated
comment,org.eclipse.rap,NA,2022-11-07,2022-11-07,1,Graduated
comment,org.eclipse.rap,NA,2022-11-07,2022-11-07,1,Graduated
comment,org.eclipse.rap,NA,2022-11-07,2022-11-07,1,Graduated
comment,org.eclipse.rap,NA,2022-11-25,2022-11-25,1,Graduated
comment,org.eclipse.rap,NA,2024-08-31,2024-08-31,1,Graduated
issue,org.eclipse.rap,OPEN,2022-11-17,2022-11-30,14,Graduated
comment,org.eclipse.rap,NA,2022-11-18,2022-11-18,1,Graduated
comment,org.eclipse.rap,NA,2022-11-18,2022-11-18,1,Graduated
comment,org.eclipse.rap,NA,2022-11-22,2022-11-22,1,Graduated
comment,org.eclipse.rap,NA,2022-11-30,2022-11-30,1,Graduated
issue,org.eclipse.rap,OPEN,2022-11-21,2023-02-08,80,Graduated
comment,org.eclipse.rap,NA,2022-11-22,2022-11-22,1,Graduated
comment,org.eclipse.rap,NA,2022-11-22,2022-11-22,1,Graduated
comment,org.eclipse.rap,NA,2023-02-08,2023-02-08,1,Graduated
issue,org.eclipse.rap,OPEN,2022-11-25,2023-02-23,91,Graduated
comment,org.eclipse.rap,NA,2022-11-25,2022-11-25,1,Graduated
comment,org.eclipse.rap,NA,2022-11-25,2022-11-25,1,Graduated
comment,org.eclipse.rap,NA,2023-02-08,2023-02-08,1,Graduated
comment,org.eclipse.rap,NA,2023-02-23,2023-02-23,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-11-25,2022-11-25,1,Graduated
comment,org.eclipse.rap,NA,2022-11-25,2022-11-25,1,Graduated
comment,org.eclipse.rap,NA,2022-11-25,2022-11-25,1,Graduated
comment,org.eclipse.rap,NA,2022-11-25,2022-11-25,1,Graduated
issue,org.eclipse.rap,CLOSED,2022-11-25,2022-11-30,6,Graduated
comment,org.eclipse.rap,NA,2022-11-26,2022-11-26,1,Graduated
comment,org.eclipse.rap,NA,2022-11-26,2022-11-26,1,Graduated
comment,org.eclipse.rap,NA,2022-11-26,2022-11-26,1,Graduated
comment,org.eclipse.rap,NA,2022-11-26,2022-11-26,1,Graduated
comment,org.eclipse.rap,NA,2022-11-26,2022-11-26,1,Graduated
comment,org.eclipse.rap,NA,2022-11-26,2022-11-26,1,Graduated
comment,org.eclipse.rap,NA,2022-11-26,2022-11-26,1,Graduated
comment,org.eclipse.rap,NA,2022-11-28,2022-11-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-28,2022-11-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-28,2022-11-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-28,2022-11-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-28,2022-11-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-28,2022-11-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-28,2022-11-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-28,2022-11-28,1,Graduated
comment,org.eclipse.rap,NA,2022-11-29,2022-11-29,1,Graduated
comment,org.eclipse.rap,NA,2022-11-29,2022-11-29,1,Graduated
comment,org.eclipse.rap,NA,2022-11-29,2022-11-29,1,Graduated
comment,org.eclipse.rap,NA,2022-11-30,2022-11-30,1,Graduated
comment,org.eclipse.rap,NA,2022-11-30,2022-11-30,1,Graduated
comment,org.eclipse.rap,NA,2022-11-30,2022-11-30,1,Graduated
comment,org.eclipse.rap,NA,2022-11-30,2022-11-30,1,Graduated
